id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9569407,Clean & Cozy Newton/Boston College,44920239,Marcia,,Brighton,42.33588,-71.18811,Private room,60,91,13,2019-09-02,0.17,2,255,0,
31650137,Cozy Queen Bedroom close to  Boston,13005723,Anderson,,Charlestown,42.40645,-71.0518,Private room,104,2,144,2022-06-02,3.60,3,85,57,
6599485,Cambridge  Harvard Comfortable Room,6438360,John,,Allston,42.38461,-71.135,Private room,63,30,210,2022-03-19,2.50,2,154,3,
26703374,Harvard Square less than 2 miles,71156317,Eddy,,Brighton,42.37511,-71.15229,Private room,87,3,21,2022-06-09,0.45,1,61,16,STR-16228
13883630,"Nice, Clean, Warm, Smoke Free 1 in East Somerville",80080682,Maria And Jose,,Charlestown,42.38751,-71.09151,Private room,90,2,128,2022-05-26,1.78,2,226,12,
53628143,Private Beach Front Apartment in Revere,434276985,Sandra,,East Boston,42.40203,-70.98804,Entire home/apt,180,5,1,2022-04-22,0.57,1,87,1,
14610297,Queen Ann Brookline B&B M605 #2,32532791,Marie,,Brighton,42.34028,-71.13677,Private room,208,2,22,2022-05-01,0.32,11,51,8,
37497746,☆ A Dazzling Gem - Private Balcony - Near Boston ☆,69424716,Pedro,,East Boston,42.40414,-71.04213,Private room,56,2,74,2022-05-29,2.15,3,132,30,
42365283,Sunny Spacious Room Close to Cambridge & Boston,71170093,Pam & Jay,,Brighton,42.3664,-71.17818,Private room,65,2,0,,,1,10,0,
22892915,Oceanfront Pool. Close to Boston. Free Parking.,154735333,Carol And John,,East Boston,42.38503,-70.97249,Entire home/apt,312,3,138,2022-05-30,2.65,1,284,26,
31539857,Get to The Point and the beach!,13853044,John And Arturo,,Harbor Islands,42.36028,-70.97402,Entire home/apt,120,1,531,2022-06-11,13.63,1,77,152,
49176440,Mdern loft/studio! Close to beach/Boston/Airport!,43223599,Olga,,East Boston,42.38768,-70.97625,Entire home/apt,109,32,7,2022-04-20,0.82,2,76,7,
2075647,Eco-Bohemian Boston Hideaway in East Somerville,9623536,Mary,,Charlestown,42.38888,-71.09235,Private room,102,1,220,2022-06-03,2.13,2,63,11,
18737444,Cody's Place Boston Logan Airport Beaches ParkFree,44854015,Frank,,East Boston,42.38752,-70.9716,Entire home/apt,216,1,224,2022-05-09,3.80,3,332,10,
589370123269584352,"Winthrop Ocean Walk 3 bedroom, commuter’s heaven",30276670,Jenny,,East Boston,42.38519,-70.97483,Entire home/apt,287,1,14,2022-06-10,6.00,4,212,14,
51259396,Comfortable Room Close T & Boston (1C),388872888,Yuping,,Charlestown,42.38723,-71.08366,Private room,63,2,21,2022-05-25,2.05,7,168,21,
13417738,Large Room in Shared Apt (SU2-2),6094,Matt,,Charlestown,42.39367,-71.09089,Private room,64,91,19,2022-06-03,0.26,9,284,1,
370390,Your Room - 10 Min T Ride To Boston Center,1866924,David,,Charlestown,42.38333,-71.08296,Private room,46,30,137,2021-02-01,1.10,2,142,0,
37122724,Spacious suite with private bath/Boston line,279234370,Marjorie,,West Roxbury,42.25128,-71.15784,Private room,65,14,9,2022-05-30,0.26,1,106,2,
10859284,Cozy room 12 mins from Logan,42056861,Craig,,East Boston,42.37486,-70.99143,Private room,80,1,25,2020-07-06,0.33,1,132,0,
38711425,Sky harbor wine lounge experience Plane Watching,3474193,Jez N Ken,,East Boston,42.37481,-70.99452,Private room,173,1,174,2022-06-12,5.27,5,346,116,
26336453,Alderwood Bed & Breakfast double room,31421752,Myra,,Brighton,42.34106,-71.19048,Private room,168,2,49,2022-05-24,1.04,2,106,26,
46483904,Private room near Harvard Square,50354405,Orhun,,Brighton,42.37451,-71.1784,Private room,96,3,0,,,1,291,0,
641587390248327157,"Upscale 4BR, 2 mi from US Open - hot tub, fire pit",112608645,Rinus,,Brighton,42.3376323,-71.1412196,Entire home/apt,3100,4,0,,,1,365,0,
13174739,Cozy  quaint cozy cottage by the beach,73648376,Patricia,,Harbor Islands,42.35871,-70.96951,Private room,50,1,190,2022-06-10,2.59,1,291,93,
682093,"Boston Airport Subway, we're a licensed 5* Airbnb",3474193,Jez N Ken,,East Boston,42.38041,-70.99083,Private room,131,1,1071,2022-06-12,9.03,5,313,102,
10040743,The House On Myrtle,51175137,Genevra,,East Boston,42.38118,-70.97337,Private room,41,1,310,2022-05-29,4.17,5,224,38,
24608415,Comfortable and Friendly,65986601,Daesik,,West Roxbury,42.24151,-71.16326,Private room,65,1,344,2022-05-29,6.89,1,262,119,
32355349,Priv. Bedroom in Watertown Sq,131500912,Roberta,,Brighton,42.36577,-71.17973,Private room,45,120,6,2021-12-14,0.15,2,191,1,
31804638,CycleHaven: Winter Hill's Best Hide-away,77601134,Lee,,Charlestown,42.3865,-71.09405,Private room,94,1,86,2022-06-12,2.19,1,14,41,
33473634,Everett 5,92524206,Ray,,East Boston,42.40201,-71.03956,Private room,83,1,78,2022-05-29,2.01,7,168,50,
49652502,"Great room, 15 min to Boston. 2 min walk to bus.",150679548,Simone,,Charlestown,42.40589711838491,-71.0544015345549,Private room,65,4,0,,,4,295,0,
1152054,"Furnished Room walk to orangeT bus 2 harvard , MIT",342545,Anjana And Karthik,,Charlestown,42.38901,-71.09069,Private room,45,91,68,2022-05-31,0.62,4,286,1,
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,132,32,23,2022-05-29,0.27,1,199,3,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,149,3,110,2021-10-25,0.68,10,44,3,Approved by the government
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,250,3,116,2021-10-12,0.74,10,96,1,STR446650
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,110,91,25,2020-04-15,0.26,10,210,0,
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.35906,-71.06271,Entire home/apt,100,91,33,2021-12-16,0.21,10,285,1,
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,129,29,5,2020-12-02,0.07,11,242,0,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,131,33,2,2016-05-23,0.03,11,347,0,
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air | Walk to Redline for Mass General and UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,118,30,52,2019-10-05,0.35,29,154,0,
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34487,-71.07441,Private room,148,29,315,2019-12-13,2.38,4,90,0,STR-410426
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,14,87,2022-05-07,0.61,1,261,8,STR-461832
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,107,29,134,2022-05-21,0.93,1,45,4,STR-409822
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,72,1,332,2022-04-21,2.32,6,146,1,STR-457920
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,143,2022-03-26,1.03,5,100,2,STR-415714
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,100,91,47,2021-12-01,0.40,10,171,2,
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,29,120,2019-11-15,0.89,5,2,0,STR-415714
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,55,1,290,2022-06-06,2.11,6,153,8,STR-457920
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,275,3,239,2022-05-01,1.81,10,112,11,STR446659
179244,Beautiful room with private bath/#2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,83,1,97,2022-04-20,0.74,6,18,4,STR-457920
179245,Private Room & private bath in Townhouse,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,75,1,54,2022-05-26,0.41,6,112,7,Exempt: This listing is a hotel or motel
184893,Beautiful 1 bedroom apt cld sleep 4,887148,Dawn,,Charlestown,42.37823,-71.06778,Private room,257,29,0,,,5,83,0,
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.30953,-71.0706,Entire home/apt,59,7,82,2022-05-21,0.62,1,1,10,STR-384505
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,60,30,52,2022-06-01,0.40,1,91,4,C0245420351
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,145,3,439,2022-06-07,3.38,2,16,36,STR-409453
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,104,3,235,2022-05-16,1.80,1,62,24,STR-414064
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,170,3,270,2022-06-08,2.07,1,56,18,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,289,2,392,2022-06-09,3.25,1,176,47,STR-411297
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,254,1,116,2022-05-27,0.93,6,67,2,STR-457920
377474,Cozy Room in Beautiful Victorian House /E,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,56,1,27,2022-05-16,0.23,6,137,2,STR-457920
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,5,347,2022-05-31,2.86,1,176,34,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,2016-06-26,0.15,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,2013-07-01,0.07,1,0,0,
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34491,-71.07368,Private room,148,29,175,2019-10-31,1.44,4,90,0,STR-410426
530983,14P · The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,179,30,67,2019-10-29,0.57,29,199,0,
533152,230B4 · The Penthouse w/Central AC | 2BR 1BA w/En-Suite HdTV's! | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,113,30,58,2022-02-14,0.58,29,243,2,
561769,12P · The Sky View w/AC | 3BR 1BA w/En-Suite HdTV's | Short Walk to Redline for Mass General and Boston Medical!,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,101,30,63,2022-04-01,0.53,29,162,1,
568234,Oasis in Boston's Hippest Neighborhood,2796082,Margaret,,Jamaica Plain,42.3036,-71.10539,Private room,121,29,291,2021-12-02,2.41,2,291,17,STR-454183
570493,"2 Bedrms, 2 Priv Bath&Priv Entrance",914630,Bill,,Dorchester,42.28834,-71.05505,Private room,175,3,98,2021-11-01,0.91,1,0,4,STR-416760
579605,230B3  · The Mayhew w/Central AC and Laundry! | 2BR 1BA w/En-Suite HdTV's | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,108,30,55,2021-03-12,0.46,29,227,0,
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34096,-71.14647,Entire home/apt,149,91,12,2017-07-05,0.10,1,0,0,
